Name,Colors,Year,Genre,Style,Link
Tambourine with Pansies,"('Cadmium Orange', 'Chocolate', 'Caput Mortuum', 'Beaver', 'Smoky Black')",1886,flower painting,Post-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/tambourine-with-pansies-1886.jpg!Large.jpg
Terrace in the Luxembourg Garden,"('Cornflower Blue', 'Olive', 'Acid Green', 'Army Green', 'Seal Brown')",1886,landscape,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/terrace-in-the-luxembourg-garden-1886.jpg
"Terrace of a Cafe on Montmartre ""La Guinguette""","('Lemon Meringue', 'French Bistre', 'Cornsilk', 'Grullo', 'Indian Red')",1886,cityscape,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/terrace-of-a-cafe-on-montmartre-la-guinguette-1886.jpg!Large.jpg
The Bois de Boulogne with People Walking,"('Light Cornflower', 'Light Yellow', 'Ochre', 'Sepia', 'Rust')",1886,landscape,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/the-bois-de-boulogne-with-people-walking-1886.jpg!Large.jpg
The Discus Thrower,"('Navajo White', 'Bistre', 'French Beige', 'Burlywood', 'Gray')",1886,sketch and study,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/the-discus-thrower-1886.jpg!Large.jpg
The Fourteenth of July Celebration in Paris,"('Dark Olive', 'Metallic Sunburst', 'Orange Red', 'Firebrick', 'Rosewood')",1886,cityscape,Post-Impressionism,https://uploads0.wikiart.org/images/vincent-van-gogh/the-fourteenth-of-july-celebration-in-paris-1886.jpg!Large.jpg
The Green Parrot,"('Gray', 'Spanish Bistre', 'Copper', 'Salmon', 'Carnelian')",1886,animal painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/the-green-parrot-1886.jpg!Large.jpg
The Hill of Montmartre with Quarry,"('Olive Drab', 'Brass', 'Burlywood', 'Lemon Chiffon', 'Goldenrod')",1886,cityscape,Post-Impressionism,https://uploads0.wikiart.org/images/vincent-van-gogh/the-hill-of-montmartre-with-quarry-1886.jpg!Large.jpg
The Kingfisher,"('Camouflage Green', 'Dark Khaki', 'Khaki', 'Tan', 'Coral')",1886,animal painting,Post-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/the-kingfisher-1886.jpg!Large.jpg
The Mill of Blute End,"('Indian Red', 'Gray', 'Light Cyan', 'Copper', 'Salmon')",1886,cityscape,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/the-mill-of-blute-end-1886.jpg!Large.jpg
The Moulin de la Galette,"('Caput Mortuum', 'Gray', 'Redwood', 'French Beige', 'Indian Red')",1886,cityscape,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/the-moulin-de-la-galette-1886.jpg!Large.jpg
The Outskirts of Paris,"('Gray', 'Blue Bell', 'Coffee', 'Light Salmon', 'Sweet Brown')",1886,genre painting,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/the-outskirts-of-paris-1886.jpg!Large.jpg
The Pont du Carrousel and the Louvre,"('Cardinal', 'Moss Green', 'Medium Champagne', 'Cornsilk', 'Light Salmon')",1886,cityscape,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/the-pont-du-carrousel-and-the-louvre-1886.jpg!Large.jpg
The Roofs of Paris,"('Light Periwinkle', 'Spanish Bistre', 'Spanish Bistre', 'Bistre', 'Ivory')",1886,panorama,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/the-roofs-of-paris-1886.jpg!Large.jpg
The Roofs of Paris and Notre-Dame,"('Gray', 'Snow', 'Gray', 'Gray', 'Gray')",1886,sketch and study,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/the-roofs-of-paris-and-notre-dame-1886.jpg!Large.jpg
The Terrace of the Tuileries with People Walking,"('Seashell', 'Grullo', 'Seashell', 'Old Burgundy', 'Dim Gray')",1886,sketch and study,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/the-terrace-of-the-tuileries-with-people-walking-1886.jpg!Large.jpg
Three Pairs of Shoes,"('Spanish Bistre', 'Mellow Apricot', 'Dark Brown', 'Persian Orange', 'Dark Sienna')",1886,still life,Post-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/three-pairs-of-shoes-1886.jpg!Large.jpg
Torso of Venus,"('Lemon Meringue', 'Navajo White', 'Dark Brown', 'French Beige', 'Smoky Black')",1886,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/torso-of-venus.jpg!Large.jpg
Torso of Venus,"('Antique White', 'Antique White', 'Gray', 'Beaver', 'Gray')",1886,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/torso-of-venus-1.jpg!Large.jpg
Torso of Venus,"('Burlywood', 'Navajo White', 'French Beige', 'Dark Brown', 'Smoky Black')",1886,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/torso-of-venus-2.jpg!Large.jpg
Torso of Venus,"('Dutch White', 'Antique White', 'Peach Puff', 'French Bistre', 'Gray')",1886,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/torso-of-venus-3.jpg!Large.jpg
Torso of Venus,"('Black Olive', 'Wheat', 'Wheat', 'Dutch White', 'Cornsilk')",1886,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/torso-of-venus-4.jpg!Large.jpg
Torso of Venus,"('Ebony', 'Gray', 'Grullo', 'Antique White', 'Antique White')",1886,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/torso-of-venus-5.jpg!Large.jpg
Two Self-Portraits and Several Details,"('Burlywood', 'Bronze', 'Bistre', 'French Bistre', 'Burlywood')",1886,self-portrait,Post-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/two-self-portraits-and-several-details-1886.jpg!Large.jpg
Vase of Hollyhocks,"('Gold Fusion', 'Khaki', 'Cornsilk', 'Persian Plum', 'Madder Lake')",1886,flower painting,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/vase-of-hollyhocks-1886.jpg!Large.jpg
Vase with Asters and Phlox,"('Caput Mortuum', 'Indian Yellow', 'Metallic Sunburst', 'Firebrick', 'Brown')",1886,flower painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/vase-with-asters-and-phlox-1886.jpg!Large.jpg
"Vase with Asters, Salvia and Other Flowers","('Gray', 'Mellow Apricot', 'Persian Orange', 'Copper', 'Tomato')",1886,flower painting,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/vase-with-asters-salvia-and-other-flowers-1886.jpg!Large.jpg
Vase with Carnations,"('Sandy Brown', 'Wheat', 'Sepia', 'Dark Sienna', 'Firebrick')",1886,flower painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/vase-with-carnations-1886.jpg!Large.jpg
Vase with Carnations,"('Gunmetal', 'Burlywood', 'Vivid Tangerine', 'Cordovan', 'Coral Pink')",1886,flower painting,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/vase-with-carnations-1886-1.jpg!Large.jpg
Vase with Carnations,"('Dark Olive', 'Minion Yellow', 'Khaki', 'Tomato', 'Brown')",1886,flower painting,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/vase-with-carnations-1886-2.jpg!Large.jpg
Vase with Carnations and Bottle,"('Mustard', 'Indian Yellow', 'Metallic Sunburst', 'Tan', 'Medium Carmine')",1886,still life,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/vase-with-carnations-and-bottle-1886.jpg!Large.jpg
Vase with Carnations and Other Flowers,"('Glaucous', 'Metallic Sunburst', 'Burlywood', 'Sienna', 'Carnelian')",1886,flower painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/vase-with-carnations-and-other-flowers-1886.jpg!Large.jpg
Vase with Flowers,"('Dark Jungle', 'Kombu Green', 'Light French', 'Salmon', 'Medium Carmine')",1886,flower painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/vase-with-flowers.jpg!Large.jpg
Vase with Gladioli,"('Claret', 'Old Gold', 'Earth Yellow', 'Camel', 'Dark Brown')",1886,flower painting,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/vase-with-gladioli-1886.jpg!Large.jpg
Vase with Gladioli and Carnations,"('Sandy Brown', 'Sienna', 'Smoky Black', 'Firebrick', 'Seal Brown')",1886,flower painting,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/vase-with-gladioli-and-carnations-1886.jpg!Large.jpg
Vase with Gladioli and Carnations,"('Khaki', 'Spanish Bistre', 'Firebrick', 'Brown', 'Dark Sienna')",1886,flower painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/vase-with-gladioli-and-carnations-1886-1.jpg!Large.jpg
Vase with Gladioli and Lilac,"('Khaki', 'Middle Red', 'Carnelian', 'Brown', 'Smoky Black')",1886,flower painting,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/vase-with-gladioli-and-lilac-1886.jpg!Large.jpg
Vase with Myosotis and Peonies,"('Fern Green', 'Buff', 'Burlywood', 'Indian Red', 'Gray')",1886,flower painting,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/vase-with-myosotis-and-peonies-1886.jpg!Large.jpg
Vase with Peonies,"('Army Green', 'Light Yellow', 'Metallic Sunburst', 'Carnelian', 'U P')",1886,flower painting,Post-Impressionism,https://uploads1.wikiart.org/images/vincent-van-gogh/vase-with-peonies-1886.jpg!Large.jpg
"Vase with Poppies, Cornflowers, Peonies and Chrysanthemums","('Brass', 'Sienna', 'Seal Brown', 'Firebrick', 'Gray')",1886,flower painting,Post-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/vase-with-poppies-cornflowers-peonies-and-chrysanthemums-1886.jpg!Large.jpg
Vase with Red and White Carnations on a Yellow Background,"('Goldenrod', 'Ochre', 'Seal Brown', 'Saddle Brown', 'Carnelian')",1886,flower painting,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/vase-with-red-and-white-carnations-on-a-yellow-background-1886.jpg!Large.jpg
Vase with Red Gladioli,"('Metallic Sunburst', 'Ochre', 'Barn Red', 'Bulgarian Rose', 'Venetian Red')",1886,flower painting,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/vase-with-red-gladioli-1886.jpg!Large.jpg
Vase with Red Gladioli,"('Burlywood', 'Tumbleweed', 'Coral', 'Deep', 'Gray')",1886,flower painting,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/vase-with-red-gladioli-1886-1.jpg!Large.jpg
Vase with Red Poppies,"('Light Slate', 'Dark Olive', 'Persian Plum', 'Venetian Red', 'Carnelian')",1886,flower painting,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/vase-with-red-poppies-1886.jpg!Large.jpg
Vase with Zinnias,"('Bistre', 'Ochre', 'Seal Brown', 'Carnelian', 'Caput Mortuum')",1886,flower painting,Post-Impressionism,https://uploads1.wikiart.org/images/vincent-van-gogh/vase-with-zinnias-1886.jpg!Large.jpg
Vase with Zinnias and Geraniums,"('Dark Moss', 'Burlywood', 'Chocolate', 'Dark Sienna', 'Firebrick')",1886,flower painting,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/vase-with-zinnias-and-geraniums-1886.jpg!Large.jpg
Vase with Zinnias and Other Flowers,"('Brown', 'Gray', 'Fern Green', 'Wheat', 'Sienna')",1886,flower painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/vase-with-zinnias-and-other-flowers-1886.jpg!Large.jpg
View of Montmartre,"('Gamboge', 'Wheat', 'Persian Orange', 'Bisque', 'Smoky Black')",1886,cityscape,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/view-of-montmartre-1886.jpg!Large.jpg
View of Paris from Montmartre,"('Bistre', 'Wheat', 'Bisque', 'Van Dyke', 'Saddle Brown')",1886,panorama,Post-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/view-of-paris-from-montmartre-1886.jpg!Large.jpg
View of Paris from near Montmartre,"('Timberwolf', 'Dark Olive', 'Dark Olive', 'Gray', 'Eggshell')",1886,panorama,Post-Impressionism,https://uploads0.wikiart.org/images/vincent-van-gogh/view-of-paris-from-near-montmartre-1886.jpg!Large.jpg
View of Paris with Notre-Dame and the Pantheon,"('Sage', 'French Bistre', 'Beaver', 'Bistre', 'Dark Sienna')",1886,sketch and study,Post-Impressionism,https://uploads3.wikiart.org/images/vincent-van-gogh/view-of-paris-with-notre-dame-and-the-pantheon-1886.jpg!Large.jpg
"View of Paris, with the Hôtel de Ville and the Tour-Saint-Jacques","('Cornsilk', 'Gray', 'Van Dyke', 'Beaver', 'Bisque')",1886,sketch and study,Post-Impressionism,https://uploads3.wikiart.org/images/vincent-van-gogh/view-of-paris-with-the-hôtel-de-ville-and-the-tour-saint-jacques-1886.jpg!Large.jpg
View of Roofs and Backs of Houses,"('Japanese Carmine', 'Medium Champagne', 'Wheat', 'Tuscan Red', 'Gray')",1886,cityscape,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/view-of-roofs-and-backs-of-houses-1886.jpg!Large.jpg
Walking Couple,"('Black Olive', 'Gray', 'Gray', 'Gray', 'Gray')",1886,sketch and study,Post-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/walking-couple-1886.jpg!Large.jpg
Windmill at Montmartre,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1886,sketch and study,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/windmill-at-montmartre-1886.jpg!Large.jpg
Windmill on Montmartre,"('Cerulean Frost', 'Pewter Blue', 'Light Cyan', 'Rifle Green', 'Light French')",1886,cityscape,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/windmill-on-montmartre-1886.jpg!Large.jpg
Windmills at Montmartre,"('Timberwolf', 'Gray', 'Gray', 'Gray', 'Gray')",1886,sketch and study,Post-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/windmills-at-montmartre-1886.jpg!Large.jpg
"Woman in Dark Dress, Walking","('Navajo White', 'Tan', 'Camel', 'Peach Puff', 'Seal Brown')",1886,sketch and study,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/woman-in-dark-dress-walking-1886.jpg!Large.jpg
Woman Walking Her Dog,"('Lemon Chiffon', 'Peach Puff', 'Bisque', 'Coffee', 'Gray')",1886,sketch and study,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/woman-walking-her-dog-1886.jpg!Large.jpg
"Woman with Hat, Half-Length","('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1886,sketch and study,Post-Impressionism,https://uploads1.wikiart.org/images/vincent-van-gogh/woman-with-hat-half-length-1886.jpg!Large.jpg
Still life with meadow flowers and roses,"('Gray', 'Lemon Chiffon', 'French Beige', 'Van Dyke', 'Coral')",1886,still life,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/still-life-with-meadow-flowers-and-roses-1886.jpg!Large.jpg
Plaster Statuette of a Female Torso,"('Lapis Lazuli', 'Sky Blue', 'Cerulean Frost', 'French Beige', 'Seal Brown')",1886,still life,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/plaster-statuette-of-a-female-torso.jpg!Large.jpg
Head of a Man,"('Old Burgundy', 'Grullo', 'Seashell', 'Eggplant', 'Gray')",1886,sketch and study,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/head-of-a-man-4(1).jpg!Large.jpg
Nude Woman on a Bed,"('Burlywood', 'Bisque', 'Salmon', 'Rose Taupe', 'Gray')",1887,sketch and study,Post-Impressionism,https://uploads0.wikiart.org/00373/images/vincent-van-gogh/nude-woman-on-a-bed.jpg
A Pair of Shoes,"('Sky Blue', 'Iceberg', 'Tan', 'Tan', 'Light Salmon')",1887,still life,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/a-pair-of-shoes-1887(1).jpg!Large.jpg
A Pair of Shoes,"('Dark Jungle', 'Khaki', 'Vegas Gold', 'Coffee', 'French Beige')",1887,still life,Post-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/a-pair-of-shoes-1887-1(1).jpg!Large.jpg
A woman walking in garden,"('Khaki', 'French Bistre', 'Arylide Yellow', 'Tan', 'Tomato')",1887,genre painting,Neo-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/a-woman-walking-in-garden-1887(1).jpg
Absinthe,"('Earth Yellow', 'Copper', 'Burlywood', 'Seal Brown', 'Saddle Brown')",1887,still life,Neo-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/absinthe-1887(1).jpg!Large.jpg
Avenue in Voyer d'Argenson Park at Asnieres,"('Arylide Yellow', 'Metallic Sunburst', 'Camel', 'Coffee', 'Bistre')",1887,landscape,Neo-Impressionism,https://uploads3.wikiart.org/images/vincent-van-gogh/avenue-in-voyer-d-argenson-park-at-asnieres-1887(1).jpg!Large.jpg
Banks of the Seine in the spring,"('Russian Violet', 'Saffron', 'Light Goldenrod', 'Tan', 'Tan')",1887,landscape,Neo-Impressionism,https://uploads1.wikiart.org/images/vincent-van-gogh/banks-of-the-seine-in-the-spring-1887(1).jpg!Large.jpg
Banks of the Seine near Pont de Clichy,"('Beige', 'Dark Olive', 'Light Goldenrod', 'Medium Champagne', 'Indian Yellow')",1887,landscape,Neo-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/banks-of-the-seine-near-pont-de-clichy-1887(1).jpg
Barn Owl Viewed from the Front,"('Wheat', 'Bistre', 'Navajo White', 'Wheat', 'Gray')",1887,animal painting,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/barn-owl-viewed-from-the-front-1887(1).jpg!Large.jpg
Barn Owl Viewed from the Side,"('Black Olive', 'Antique White', 'Cornsilk', 'Ivory', 'Gray')",1887,animal painting,Post-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/barn-owl-viewed-from-the-side-1887(1).jpg!Large.jpg
Basket of Sprouting Bulbs,"('Russian Green', 'Sage', 'Burlywood', 'Ivory', 'Gray')",1887,still life,Neo-Impressionism,https://uploads3.wikiart.org/images/vincent-van-gogh/basket-of-sprouting-bulbs-1887(1).jpg!Large.jpg
Bathing Float on the Seine at Asnieres,"('Ivory', 'Tumbleweed', 'Camel', 'Wine', 'Firebrick')",1887,landscape,Neo-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/bathing-float-on-the-seine-at-asnieres-1887(1).jpg!Large.jpg
Boulevard de Clichy,"('Twilight Lavender', 'Opera Maue', 'Misty Moss', 'Bisque', 'Sweet Brown')",1887,cityscape,Neo-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/boulevard-de-clichy-1887(1).jpg!Large.jpg
Bridges across the Seine at Asnieres,"('Olive', 'Arylide Yellow', 'Orange', 'Mahogany', 'Orange Red')",1887,cityscape,Neo-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/bridges-across-the-seine-at-asnieres-1887(1).jpg!Large.jpg
Chestnut Tree in Blossom,"('Hunter Green', 'Asparagus', 'Moss Green', 'Vegas Gold', 'Brown')",1887,landscape,Neo-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/chestnut-tree-in-blossom-1887(1).jpg!Large.jpg
Clarinetist and Piccolo Player,"('Gray', 'Light Sky', 'Oxford Blue', 'Dutch White', 'Cornsilk')",1887,sketch and study,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/clarinetist-and-piccolo-player-1887(1).jpg!Large.jpg
Couple Out for a Stroll,"('Burlywood', 'Burlywood', 'French Beige', 'Van Dyke', 'Smoky Black')",1887,sketch and study,Post-Impressionism,https://uploads1.wikiart.org/images/vincent-van-gogh/couple-out-for-a-stroll-1887(1).jpg!Large.jpg
Double-Bass Player,"('Dark Jungle', 'M S', 'Gray', 'Lemon Chiffon', 'Light Yellow')",1887,sketch and study,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/double-bass-player-1887(1).jpg!Large.jpg
Dying Slave and Figures at a Table,"('Antique White', 'Bistre', 'Gray', 'Grullo', 'Antique White')",1887,sketch and study,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/dying-slave-and-figures-at-a-table-1887(1).jpg!Large.jpg
Edge of a Wheatfield with Poppies,"('Steel Blue', 'Cadet Blue', 'Coffee', 'Tan', 'Bronze')",1887,landscape,Neo-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/edge-of-a-wheatfield-with-poppies-1887(1).jpg!Large.jpg
Entrance to the Moulin de la Galette,"('Dodger Blue', 'Citron', 'Gamboge', 'Buff', 'Navajo White')",1887,cityscape,Neo-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/entrance-to-the-moulin-de-la-galette-1887.jpg!Large.jpg
Entrance to the Voyer-d'Argenson Park at Asnieres,"('Jasmine', 'Indian Yellow', 'Metallic Sunburst', 'Coffee', 'Light Salmon')",1887,cityscape,Neo-Impressionism,https://uploads0.wikiart.org/images/vincent-van-gogh/entrance-to-the-voyer-d-argenson-park-at-asnieres-1887(1).jpg!Large.jpg
Exterior of a Restaurant at Asnieres,"('Khaki', 'Light Goldenrod', 'Gold Fusion', 'Light Goldenrod', 'Firebrick')",1887,cityscape,Neo-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/exterior-of-a-restaurant-at-asnieres-1887(1).jpg!Large.jpg
"Factories at Asnieres, Seen from the Quai de Clichy","('Goldenrod', 'Light Yellow', 'Goldenrod', 'Gamboge', 'Carnelian')",1887,cityscape,Neo-Impressionism,https://uploads1.wikiart.org/images/vincent-van-gogh/factories-at-asnieres-seen-from-the-quai-de-clichy-1887(1).jpg!Large.jpg
Factories Seen from a Hillside in Moonlight,"('Russian Green', 'Pale Green', 'Hunter Green', 'Dark Sea', 'Light Salmon')",1887,landscape,Neo-Impressionism,https://uploads3.wikiart.org/images/vincent-van-gogh/factories-seen-from-a-hillside-in-moonlight-1887(1).jpg!Large.jpg
Fishing in the Spring,"('Steel Blue', 'Olive Drab', 'Citron', 'Ochre', 'Fuzzy Wuzzy')",1887,genre painting,Neo-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/fishing-in-the-spring-1887(1).jpg!Large.jpg
Flowerpot with Chives,"('Gray', 'Sage', 'Salmon', 'Wine', 'Deep')",1887,flower painting,Neo-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/flowerpot-with-chives-1887(1).jpg!Large.jpg
Fortifications of Paris with Houses,"('Royal Blue', 'Steel Blue', 'Pewter Blue', 'Lemon Chiffon', 'Metallic Gold')",1887,landscape,Post-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/fortifications-of-paris-with-houses-1887(1).jpg!Large.jpg
Four Swifts with Landscape Sketches,"('Gray', 'Mellow Apricot', 'Wheat', 'Dutch White', 'Coffee')",1887,sketch and study,Post-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/four-swifts-with-landscape-sketches-1887(1).jpg!Large.jpg
Fritillaries in a Copper Vase,"('Steel Blue', 'May Green', 'Tan', 'Sienna', 'Coral')",1887,flower painting,Neo-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/fritillaries-in-a-copper-vase-1887(1).jpg!Large.jpg
Gardens on Montmartre and the Blute-Fin Windmill,"('Metallic Sunburst', 'Caput Mortuum', 'Sienna', 'Sienna', 'Smoky Black')",1887,landscape,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/gardens-on-montmartre-and-the-blute-fin-windmill-1887(1).jpg!Large.jpg
Gate in the Paris Ramparts,"('Oxford Blue', 'Pale Cerulean', 'Peach Puff', 'Redwood', 'Red')",1887,cityscape,Post-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/gate-in-the-paris-ramparts-1887(1).jpg!Large.jpg
Head of a Man (Possibly Theo van Gogh),"('Dutch White', 'Tan', 'French Beige', 'Smoky Black', 'Sienna')",1887,sketch and study,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/head-of-a-man-possibly-theo-van-gogh-1887(1).jpg!Large.jpg
Head of a Man with a Top Hat,"('Gray', 'Kombu Green', 'Granite Gray', 'Sage', 'Light Yellow')",1887,sketch and study,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/head-of-a-man-with-a-top-hat-1887(1).jpg!Large.jpg
House with sunflowers,"('Dark Jungle', 'Buff', 'Light Goldenrod', 'Light Salmon', 'Sweet Brown')",1887,landscape,Neo-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/house-with-sunflowers-1887.jpg
Interior of a Restaurant,"('Glaucous', 'Hunter Green', 'Lemon Chiffon', 'Tan', 'Sepia')",1887,interior,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/interior-of-a-restaurant-1887.jpg!Large.jpg
Interior of a Restaurant,"('Burlywood', 'Persian Orange', 'Tomato', 'Chamoisee', 'Persian Plum')",1887,interior,Neo-Impressionism,https://uploads1.wikiart.org/images/vincent-van-gogh/interior-of-a-restaurant-1887-1.jpg!Large.jpg
Italian Woman (Agostina Segatori),"('Minion Yellow', 'Yellow Orange', 'Ochre', 'Tomato', 'Brown')",1887,portrait,Neo-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/italian-woman-agostina-segatori-1887.jpg!Large.jpg
Japanese art,"('Yellow Green', 'Jonquil', 'Dark Goldenrod', 'Rust', 'Orange Red')",1887,cityscape,Japonism,https://uploads5.wikiart.org/images/vincent-van-gogh/japanese-art-1887.jpg!Large.jpg
Japonaiserie Oiran (after Kesai Eisen),"('Steel Blue', 'Old Gold', 'Metallic Gold', 'Bronze', 'Medium Carmine')",1887,portrait,Japonism,https://uploads2.wikiart.org/images/vincent-van-gogh/japonaiserie-oiran-after-kesai-eisen-1887.jpg!Large.jpg
Kneeling Ecorche,"('Wheat', 'Van Dyke', 'Beaver', 'Bisque', 'Smoky Black')",1887,sketch and study,Post-Impressionism,https://uploads0.wikiart.org/images/vincent-van-gogh/kneeling-ecorche-1887.jpg!Large.jpg
Lane in Voyer d'Argenson Park at Asnieres,"('Seal Brown', 'Mode Beige', 'Burlywood', 'Bulgarian Rose', 'Sienna')",1887,landscape,Neo-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/lane-in-voyer-d-argenson-park-at-asnieres-1887.jpg!Large.jpg
Le Moulin de la Gallette,"('Little Boy', 'Iceberg', 'Light Steel', 'Olive Drab', 'Sepia')",1887,cityscape,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/le-moulin-de-la-gallette-1887.jpg!Large.jpg
L'Ecorche,"('Bisque', 'Cornsilk', 'Rifle Green', 'Bisque', 'Light Yellow')",1887,sketch and study,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/l-ecorche-1887.jpg!Large.jpg
L'Ecorche and Borghese Gladiator,"('Bistre', 'Tan', 'Bisque', 'Coffee', 'Camel')",1887,sketch and study,Post-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/l-ecorche-and-borghese-gladiator-1887.jpg!Large.jpg
Lilacs,"('Brass', 'Fawn', 'Portland Orange', 'Tomato', 'Fire Opal')",1887,flower painting,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/lilacs-1887.jpg!Large.jpg
Luxembourg Garden in Paris,"('Cornsilk', 'Peach Puff', 'French Bistre', 'Grullo', 'Bistre')",1887,sketch and study,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/luxembourg-garden-in-paris.jpg!Large.jpg
